Location Number,Location Name,URL
0,"Anchorage, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfY3JlYXRpb25fdGltZTowIjoie1wibmFtZVwiOlwiY3JlYXRpb25fdGltZVwiLFwiYXJnc1wiOlwie1xcXCJzdGFydF95ZWFyXFxcIjpcXFwiMjAyMlxcXCIsXFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAyMi0xXFxcIixcXFwiZW5kX3llYXJcXFwiOlxcXCIyMDIyXFxcIixcXFwiZW5kX21vbnRoXFxcIjpcXFwiMjAyMi0xMlxcXCIsXFxcInN0YXJ0X2RheVxcXCI6XFxcIjIwMjItMS0xXFxcIixcXFwiZW5kX2RheVxcXCI6XFxcIjIwMjItMTItMzFcXFwifVwifSIsInJwX2xvY2F0aW9uOjAiOiJ7XCJuYW1lXCI6XCJsb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA2MTk5NjE5NDExMDkxXCJ9In0%3D
1,Beluga Alaska,https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDU3NjY1MjI3OTA2NzlcIn0ifQ%3D%3D
2,"Girdwood, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDc4NjY0NDU5MDExNDBcIn0ifQ%3D%3D
3,"Valdez, Ak",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMTIwMjg3NTIxNDY2NTFcIn0ifQ%3D%3D
4,"Knik, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDQ5NjM4MzI4NzI5NjFcIn0ifQ%3D%3D
5,"Wasilla, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDU1NzU1MjYxNDE1ODFcIn0ifQ%3D%3D
6,"Kenai, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMTI0NzA2NzIwOTc5NjlcIn0ifQ%3D%3D
7,"Houston, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMTIzMDc5OTU0NTI1ODVcIn0ifQ%3D%3D
8,"Palmer, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMTI3MTQ5Njg3NDAwMzFcIn0ifQ%3D%3D
9,"Bethel, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDYxODE4NzYwNzk2NzhcIn0ifQ%3D%3D
10,"Fairbanks, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDU3MDIzNTk0NjQzMzlcIn0ifQ%3D%3D
11,"Juneau, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDk2NTk2MjU3MjA1NTJcIn0ifQ%3D%3D
